"trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","sale_date","sale_price","lot_sqft","property_land_use","year_built","total_bedrooms","total_baths","airconditioning_type","prop_fireplace","prop_sqft","year","building_age"
512463938,NA,"GALLATIN NY 10012",10012,NA,NA,NA,194713335,2020-10-02,275000,262666.8,101,1800,3,1.5,NA,NA,1691,2020,220
564447096,"228 PARK AVE STE 73833","ROCHESTER",10003,NA,NA,NA,89812071,2022-01-20,50000,4356,101,1900,2,1,NA,NA,1577,2022,122
566731153,"228 Park Ave S","New York",10003,40.737553,-73.9885,360610052001002,89786541,2022-03-17,60000,3484.8,101,1900,3,1,NA,NA,1380,2022,122
425414041,"500A E 87TH ST","NEW YORK",10128,40.776418,-73.946552,360610144024003,90607430,2018-01-01,3033333,8198.01,106,1963,NA,NA,NA,NA,1089,2018,55
425414054,"500A E 87TH ST","NEW YORK",10128,40.776418,-73.946552,360610144024003,90607344,2018-01-01,3033333,8198.01,106,1963,NA,NA,NA,NA,2584,2018,55
425435348,"250 E 49th St","New York",10017,40.754238,-73.969558,360610090005000,90578164,2018-01-03,1050000,NA,106,2006,NA,NA,NA,NA,647,2018,12
425435373,"240 W 98th St","New York",10025,40.795893,-73.971532,360610183004000,90619658,2018-01-02,1550000,35322,106,1923,NA,NA,NA,NA,1150,2018,95
425435388,"101 W 79th St","New York",10024,40.782416,-73.975703,360610165002000,90566301,2018-01-08,4001000,NA,106,1986,NA,NA,NA,NA,1575,2018,32
425435391,"101 W 24th St","New York",10011,40.744007,-73.9924,360610091001002,90524147,2018-01-04,1490000,19760,106,2006,NA,NA,NA,NA,830,2018,12
425435399,"322 W 57th St","New York",10019,40.766966,-73.98399,360610139006000,90547835,2018-01-03,1700000,35145.25,106,1978,NA,NA,NA,NA,1112,2018,40
425435401,"155 W 11th St","New York",10011,40.736551,-74.000005,360610071003000,158167410,2018-01-04,14173186,NA,106,2013,NA,NA,NA,NA,3687,2018,5
425435410,"188 E 70th St","New York",10021,40.768366,-73.961972,360610120004000,90587011,2018-01-05,1850000,NA,106,1986,NA,NA,NA,NA,1820,2018,32
425435463,"50-825 United Nations Plz","New York",10017,40.751761,-73.968299,360610090003001,153728595,2018-01-03,7741200,20139,106,2008,NA,NA,NA,NA,3004,2018,10
425435468,"40 E 78th St","New York",10075,40.775341,-73.962502,360610142003000,90585544,2018-01-03,2425000,NA,106,1958,NA,NA,NA,NA,1295,2018,60
425435469,"235 E 40TH ST APT 38D","NEW YORK",10016,NA,NA,NA,90576396,2018-01-05,999000,NA,106,1986,NA,NA,NA,NA,715,2018,32
425793710,"450 W 17th St","New York",10011,40.743611,-74.006109,360610083003001,90518422,2018-01-03,2380000,NA,106,2006,NA,NA,NA,NA,1038,2018,12
425793712,"280 Park Ave S","New York",10010,40.739539,-73.987467,360610056003000,90527738,2018-01-05,2300000,NA,106,1986,NA,NA,NA,NA,1033,2018,32
425793718,"607 Hudson St","New York",10014,40.737394,-74.006137,360610079004006,90515525,2018-01-04,11288400,8185,106,1906,NA,NA,NA,NA,3537,2018,112
425793719,"127 Madison Ave","New York",10016,40.745468,-73.984308,360610074003000,90529448,2018-01-03,1950000,NA,106,1920,NA,NA,NA,NA,1550,2018,98
425793720,"50 E 72nd St","New York",10021,40.771139,-73.964647,360610130002002,90584966,2018-01-04,1253500,NA,106,1928,NA,NA,NA,NA,724,2018,90
425793726,"202 Bowery","New York",10012,40.721501,-73.993969,360610043002000,90507115,2018-01-10,2150000,NA,106,2005,NA,NA,NA,NA,1075,2018,13
425793729,"308 W 88th St","New York",10024,40.790277,-73.977674,360610175002000,90570689,2018-01-10,12500000,2114.07,101,1900,NA,NA,NA,NA,6306,2018,118
425793735,"100 W 93rd St","New York",10025,40.790775,-73.969367,360610177001001,90567719,2018-01-03,805000,NA,106,1973,NA,NA,NA,NA,493,2018,45
425793737,"21 W 20TH ST # 10PH1","NEW YORK",10011,NA,NA,NA,158168121,2018-01-10,9523388,9000,106,2015,NA,NA,NA,NA,4841,2018,3
425793740,"310 W 52nd St","New York",10019,40.76376,-73.985992,360610133002000,90546355,2018-01-05,999000,NA,106,2005,NA,NA,NA,NA,635,2018,13
425793744,"372 Central Park W","New York",10025,40.793181,-73.96446,360610185001000,90615998,2018-01-04,5455000,111671.5,106,1961,NA,NA,NA,NA,1141,2018,57
425793751,"15 William St","New York",10005,40.705274,-74.010231,360610009001006,90486783,2018-01-08,1275000,NA,106,2005,NA,NA,NA,NA,791,2018,13
425793759,"416 Washington St","New York",10013,40.722584,-74.010988,360610039001016,90497107,2018-01-11,2995000,NA,106,2004,NA,NA,NA,NA,1588,2018,14
425793765,"188 E 64th St","New York",10065,40.764499,-73.964841,360610120002002,90586420,2018-01-08,2800000,NA,106,1987,NA,NA,NA,NA,1386,2018,31
425793766,"28 Perry St","New York",10014,40.735522,-74.002186,360610073006001,90514492,2018-01-08,921516,2125,106,1900,NA,NA,NA,NA,455,2018,118
425793767,"200 E 62nd St","New York",10065,40.763017,-73.965076,360610110003000,158171072,2018-01-02,1864000,21831.97,106,1967,NA,NA,NA,NA,1156,2018,51
425793775,"15 William St","New York",10005,40.705274,-74.010231,360610009001006,90486837,2018-01-09,1280000,NA,106,2005,NA,NA,NA,NA,832,2018,13
425793779,"200 E 66th St","New York",10065,40.76544,-73.963239,360610118007000,90589954,2018-01-16,1550000,NA,106,1951,NA,NA,NA,NA,1078,2018,67
425793788,"525 E 11th St","New York",10009,40.728143,-73.980474,360610034002000,90502191,2018-01-10,2000000,NA,106,1965,NA,NA,NA,NA,1039,2018,53
425793790,"140 E 63rd St","New York",10065,40.764401,-73.966198,360610114021000,90586195,2018-01-09,1375000,NA,106,1927,NA,NA,NA,NA,804,2018,91
425793807,"333 Rector Pl","New York",10280,40.709693,-74.017239,360610317042000,90485005,2018-01-05,1110000,NA,106,1985,NA,NA,NA,NA,779,2018,33
425793815,"530 E 76th St","New York",10021,40.768188,-73.950085,360610132007001,90595902,2018-01-10,980000,NA,106,1986,NA,NA,NA,NA,680,2018,32
425793816,"250 E 40th St","New York",10016,40.748519,-73.973396,360610088002001,90536366,2018-01-03,2125000,NA,106,1988,NA,NA,NA,NA,1547,2018,30
425793818,"415 E 37th St","New York",10016,40.74553,-73.97149,360610086011010,90540343,2018-01-08,1200000,NA,106,1988,NA,NA,NA,NA,860,2018,30
425793822,"555 W 23rd St","New York",10011,40.749206,-74.006019,360610099001041,90517541,2018-01-11,880000,NA,106,2005,NA,NA,NA,NA,462,2018,13
425793827,"322 W 57th St","New York",10019,40.766966,-73.98399,360610139006000,90548061,2018-01-12,4250000,35145.25,106,1978,NA,NA,NA,NA,2049,2018,40
