"","trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","year","month","day","sale_price","trans_id.y","year_built","total_bedrooms","total_baths","age","prop_sqft"
"1",404931248,"75 Henry St","Brooklyn","10022",40.698486,-73.991883,"360470001004001",157672625,2015,"08","11",1425000,"5A173088-E847-E711-80C2-3863BB43E813",1967,2,2,48,1200
"2",402447352,"123 W 17th St","New York","10011",40.739808,-73.99648,"360610081001000",89802073,2016,"12","19",47500,"59455A05-0000-0000-8CD7-000000000000",1920,3,1,96,1067
"3",402447352,"123 W 17th St","New York","10011",40.739808,-73.99648,"360610081001000",89802073,2016,"12","19",47500,"59455A05-0000-0000-8CD7-000000000000",1920,3,1,96,141
"4",402447352,"123 W 17th St","New York","10011",40.739808,-73.99648,"360610081001000",89802073,2016,"12","19",47500,"59455A05-0000-0000-8CD7-000000000000",1920,3,1,96,298
"5",402447352,"123 W 17th St","New York","10011",40.739808,-73.99648,"360610081001000",89802073,2016,"12","19",47500,"59455A05-0000-0000-8CD7-000000000000",1920,3,1,96,768
"6",566731153,"228 Park Ave S","New York","10003",40.737553,-73.9885,"360610052001002",89786541,2022,"03","17",60000,"AD085A05-0000-0000-8CD7-000000000000",1900,3,1,122,1380
"7",566731153,"228 Park Ave S","New York","10003",40.737553,-73.9885,"360610052001002",89786541,2022,"03","17",60000,"AD085A05-0000-0000-8CD7-000000000000",1900,3,1,122,60
"8",566731153,"228 Park Ave S","New York","10003",40.737553,-73.9885,"360610052001002",89786541,2022,"03","17",60000,"AD085A05-0000-0000-8CD7-000000000000",1900,3,1,122,30
"9",566731153,"228 Park Ave S","New York","10003",40.737553,-73.9885,"360610052001002",89786541,2022,"03","17",60000,"AD085A05-0000-0000-8CD7-000000000000",1900,3,1,122,460
"10",566731153,"228 Park Ave S","New York","10003",40.737553,-73.9885,"360610052001002",89786541,2022,"03","17",60000,"AD085A05-0000-0000-8CD7-000000000000",1900,3,1,122,920
"11",404424357,"225 E 36TH ST","NEW YORK","10016",40.746643,-73.975947,"360610078002005",157616078,2008,"11","10",549000,"CE076509-0000-0000-8CDD-000000000000",1963,1,1,45,775
"12",404424366,"347 E 53RD ST","NEW YORK","10022",40.756403,-73.965929,"360610098005000",158423672,2008,"12","22",975000,"785A7109-0000-0000-8CDD-000000000000",1961,2,2,47,1300
"13",404424402,"445 E 86TH ST","NEW YORK","10028",40.776517,-73.948145,"360610144021000",157616187,2008,"12","29",419000,"3B086509-0000-0000-8CDD-000000000000",1961,1,1,47,600
"14",404424407,"245 E 54TH ST","NEW YORK","10022",40.758013,-73.967815,"360610108007002",157616120,2008,"12","22",550000,"F8076509-0000-0000-8CDD-000000000000",1977,1,1,31,850
"15",404424461,"340 E 80TH ST","NEW YORK","10075",40.773452,-73.95358,"360610138008000",157616177,2008,"11","13",1100000,"31086509-0000-0000-8CDD-000000000000",1961,2,2,47,1312
"16",404424472,"50 W 17TH ST","NEW YORK","10011",40.738475,-73.99392,"360610054001005",157616034,2008,"12","29",789500,"A2076509-0000-0000-8CDD-000000000000",1961,2,1,47,875
"17",404424477,"205 E 63RD ST","NEW YORK","10065",40.764069,-73.964407,"360610110001000",157616148,2008,"12","23",412500,"14086509-0000-0000-8CDD-000000000000",1963,1,1,45,900
"18",404424483,"137 E 36TH ST","NEW YORK","10016",40.747726,-73.978509,"360610080004001",157616072,2008,"12","16",802000,"C8076509-0000-0000-8CDD-000000000000",1966,1,1.5,42,950
"19",404424496,"302 E 88TH ST","NEW YORK","10128",40.778974,-73.950676,"360610146025000",157616183,2008,"12","18",670000,"37086509-0000-0000-8CDD-000000000000",1957,1,1,51,950
"20",404424558,"1280 3RD AVE","NEW YORK","10021",40.770845,-73.960012,"360610128005000",157616145,2008,"12","23",1213073,"11086509-0000-0000-8CDD-000000000000",1966,2,2,42,1350
"21",404424582,"790 RIVERSIDE DR","NEW YORK","10032",40.8345,-73.9473,"360610241002",157735429,2008,"12","31",370000,"05DA6609-0000-0000-8CDD-000000000000",1910,1,1,98,900
"22",404424594,"135 WATTS ST","NEW YORK","10013",40.723987,-74.009782,"360610039001008",157616021,2008,"12","04",2275000,"95076509-0000-0000-8CDD-000000000000",1915,2,2.5,93,2700
"23",404424595,"931 LEXINGTON AVE","NEW YORK","10065",40.768085,-73.963703,"360610120004005",157616143,2008,"11","26",1675033,"0F086509-0000-0000-8CDD-000000000000",1959,2,2,49,1756
"24",404424610,"309 E 87TH ST","NEW YORK","10128",40.778526,-73.95081,"360610146025000",157616182,2009,"01","06",607000,"36086509-0000-0000-8CDD-000000000000",1959,1,1,50,800
"25",404424652,"264 RIVERSIDE DR","NEW YORK","10025",40.797495,-73.973375,"360610187002001",157616201,2009,"01","06",6e+05,"49086509-0000-0000-8CDD-000000000000",1912,1,1,97,800
"26",404424658,"120 BENNETT AVE","NEW YORK","10033",40.854095,-73.935021,"360610271005000",157616220,2006,"05","23",345000,"5C086509-0000-0000-8CDD-000000000000",1939,1,1,67,805
"27",404424688,"305 E 40TH ST","NEW YORK","10016",40.74858,-73.972864,"360610088003000",157616121,2008,"12","29",810000,"F9076509-0000-0000-8CDD-000000000000",1963,2,1,45,1050
"28",404424693,"130 W 16TH ST","NEW YORK","10011",40.738954,-73.996883,"360610081003000",157616054,2008,"12","11",978913,"B6076509-0000-0000-8CDD-000000000000",1927,2,1,81,850
"29",404424695,"228 E 13TH ST","NEW YORK","10003",40.732188,-73.987066,"360610040001001",157616031,2008,"12","30",295000,"9F076509-0000-0000-8CDD-000000000000",1900,1,1,108,460
"30",404424721,"1025 5TH AVE","NEW YORK","10028",40.779889,-73.961409,"360610142006000",158423679,2008,"12","23",1995000,"7F5A7109-0000-0000-8CDD-000000000000",1955,2,2,53,1525
